name,frequency,type
Luis,1,first_name
Juan,1,first_name
George,4,first_name
Horace,1,first_name
Buzz,1,first_name
Sam,3,first_name
Bob,5,first_name
Bill,6,first_name
Walter,1,first_name
Max,1,first_name
Del,2,first_name
Sheriff,1,first_name
Otis,1,first_name
Frank,3,first_name
John,1,first_name
Cuckoo,1,first_name
Earle,1,first_name
Jocko,1,first_name
Alvin,1,first_name
Pea,1,first_name
Tod,1,first_name
Logan,1,first_name
Eddie,3,first_name
Hal,2,first_name
Verdo,1,first_name
Reuben,1,first_name
Bibb,1,first_name
Jim,2,first_name
Showboat,1,first_name
Lew,1,first_name
Happy,1,first_name
Walt,2,first_name
Bernie,2,first_name
Art,2,first_name
Charlie,3,first_name
Haddie,1,first_name
Skinny,2,first_name
June,1,first_name
Nelson,1,first_name
Tom,1,first_name
Joe,4,first_name
Jake,1,first_name
Lafayette,1,first_name
Fritz,1,first_name
Al,2,first_name
Ed,4,first_name
Trader,1,first_name
Waite,1,first_name
Harry,2,first_name
Augie,2,first_name
Fred,1,first_name
Binky,1,first_name
Percy,1,first_name
Ike,1,first_name
Cactus,1,first_name
Vic,1,first_name
Ren,1,first_name
Dutch,2,first_name
Ted,2,first_name
Rudy,1,first_name
Wally,1,first_name
Bub,1,first_name
Dud,1,first_name
Waddy,1,first_name
Freddie,1,first_name
Buckshot,1,first_name
Slim,1,first_name
Pat,1,first_name
Herb,1,first_name
Ski,1,first_name
Lenny,1,first_name
Ralph,1,first_name
Leo,1,first_name
Ray,1,first_name
Heinie,1,first_name
Ernie,2,first_name
Urbane,1,first_name
William,1,first_name
Lerton,1,first_name
Pinky,1,first_name
Nellie,1,first_name
Stan,1,first_name
Tink,1,first_name
Gene,1,first_name
Chuck,1,first_name
Karl,1,first_name
Tripp,1,first_name
Don,1,first_name
Gale,1,first_name
Lil,1,first_name
Guy,1,first_name
Lena,1,first_name
Tommy,1,first_name
Sloppy,1,first_name
Specs,1,first_name
Otto,1,first_name
Ollie,1,first_name
Marty,1,first_name
Allie,1,first_name
Tony,1,first_name
Earl,1,first_name
Clarence,1,first_name
Jack,1,first_name
Hoge,1,first_name
